Latitude,Longitude,Project Name,Location,Description,Learn More
2.866304,101.338577,Islamic Family Law and Women's Rights under Shariah,Petaling Jaya. Malaysia,"Fellow Hasnain Nazar traveled to Kuala Lumpur, Malaysia, for a sixth-month internship with Sisters in Islam (SIS), an NGO committed to promoting the rights of Muslim women in Malaysia. SIS’s international department, Musawah, works to help improve Islamic Family Laws in nations with primarily Muslim populations...",http://www.everettprogram.org/portfolio-items/islamic-family-law-womens-rights-shariah/
-3.040861,37.382723,Moshi Institute of Technology,Tanzania ,"MIT is a for-profit institute that offers classes in various topics in computers as well as English courses. It is situated in the center of Moshi town, which is located on the lower slopes of Mt. Kilimanjaro. MIT has two locations in town, and one in rural Moshi...",http://www.everettprogram.org/portfolio-items/moshi-institute-technology/
7.946527,-1.023194,Center for Democratic Development,Ghana,"As an intern at the Center for Democratic Development Lucas Healy is using his GIIP skills to improve and develop CDD’s online presence. The largest project Lucas is taking on during his stay in Ghana is developing a web site, web application, SMS system, and IVR system for an HP funded project titled, 'Am Aware'. This will be completed with help from fellow GIIPer",http://www.everettprogram.org/portfolio-items/center-democratic-development-ghana/
36.289449,-121.585693,PUEDE (Promoting Understanding and Empowerment through Digital Education),Watsonville-CA,"PUEDE (Promoting Understanding and Empowerment through Digital Education) is one of GIIP’s newest and most exciting projects, managed by GIIP Fellows Yetzhell Diaz. PUEDE includes many different projects, from open computer labs where parents can learn about technology in a safe and supportive environment,  to teaching digital storytelling labs and hosting the Watsonville Film Festival",http://www.everettprogram.org/portfolio-items/puede/
40.55054,-76.289062,D.C. Hub,Washington D.C.,"After graduating from UCSC, Jessica started a project in Washington D.C. to manage internship placements for GIIP students while creating opportunities for new strategic partnerships. GIIP  has an impressive global network of alumni and a growing base of partner organizations, including nine strategic partnerships.",http://www.everettprogram.org/portfolio-items/dc-hub-building-strategic-partnerships/
36.204824,138.252924,Advancing Sustainable Communities,Japan,"Advancing Sustainable Communities via Ancient Japanese Farming Practices began as a project to assess the success of Japanese sustainable farming in the context of rapid industrialization. The aim was to understand what factors, especially the use of information and communication technologies (ICT), had allowed these small farms to prosper...",http://www.everettprogram.org/portfolio-items/advancing-sustainable-communities/
43.37822,25.059482,Abraham's Vision,Balkans,"Abraham’s Vision is a non-profit organization based in Redwood City, CA that focuses on conflict transformation among Jewish, Muslim, Israeli, and Palestinian youth regarding the Palestinian/Israeli conflict...",http://www.everettprogram.org/portfolio-items/abrahams-vision/
38.909843,-79.211426,Win Without War,Washington- D.C.,"As a student of politics and international relations, Hasnain understands the grave importance of US military policy. As the social media intern for this particular NGO, Hasnain worked to demilitarize Iraq  and Afghanistan and close Guantanamo...",http://www.everettprogram.org/portfolio-items/win-without-war/
38.902558,-77.044995,World Resources Institute,Washington- D.C ,"WRI is an environmentally-minded think tank that goes beyond research to create solutions in areas where human needs intersect with the environment. WRI publishes research and non-opinionated articles, creates digital interactive applications, and host international events. Currently the divisions of WRI  address aspects of global climate change, sustainable marketplaces, ecosystem protection, and environmentally responsible governance...",http://www.everettprogram.org/portfolio-items/world-resources-institute/
6.250869,-1.647949,The Voice of Ghana,Ghana,"GIIP Fellow Lucas Healy traveled to Ghana in order to work with The Voice of Ghana, a research and implementation project that focuses on mobile technologies for social advocacy. Lucas also partnered with The Cheerful Hearts Foundation, a community based nonprofit in Kasoa that utilizes their social network to improve the communities’ education and health, as well as Rise Up Development Collective’s Cheerful Hearts Foundation, which is working to provide health care to the community of Wli Todzi in the Volta Region...",http://www.everettprogram.org/portfolio-items/voices-ghana/
38.360611,-78.00293,Center of International Policy,Washington- D.C.,"As a student of politics and international relations,  Rebecca was particularly interested in the mission of Center for International Policy, which is to promote foreign policy based on cooperation, demilitarization and respect for human rights...",http://www.everettprogram.org/portfolio-items/center-international-policy/
36.974117,-122.030796,Global Labor Education Research,Santa Cruz- CA,"In the summer of 2005, GIIP Fellow Eric Rolfsen conducted research for GIIP’s Global Labor Education Research Project (GLERP). Starting by assessing local labor unions members’ technology skills, and then offering computer and internet trainings to the members in an effort to assist their labor campaigns and build their capacity to network with other labor organizations both locally and nationally...",http://www.everettprogram.org/portfolio-items/global-labor-education-research-project/
34.052234,-118.243685,Providing Technology Support for a Los Angelas Interfaith Organization,Los Angelas- CA,"In the summer of 2007, three GIIP fellows, Dmitry Kogan, Maira Sutton, and Judy Esber, worked with coordinators and community leaders from Clergy and Laity United for Economic Justice in Los Angeles, California. CLUE is an interfaith association that brings people together to fight for worker rights and economic justice. CLUE organizes as well as educates the religious community in order to improve working conditions, raise wages, and give the working poor a voice in the job market and community...",http://www.everettprogram.org/portfolio-items/providing-technology-support-la-interfaith-labor-org/
12,8.516667,Training ICT Advocates in Kano,Kano- Nigeria,"I was an intern in Kano, Nigeria. I worked primarily with the Centre for Information Technology and Development (CITAD) which is deeply involved in advocacy, training, and research related to the use of ICT for sustainable development in Northern Nigeria...",http://www.everettprogram.org/portfolio-items/training-ict-advocates-kano-nigeria/
